2026/01/29 09:04:21 [warn] 1#1: the "listen ... http2" directive is deprecated, use the "http2" directive instead in /etc/nginx/conf.d/default.conf:25
2026/01/29 09:04:21 [warn] 1#1: the "listen ... http2" directive is deprecated, use the "http2" directive instead in /etc/nginx/conf.d/default.conf:26
2026/01/29 09:04:21 [notice] 1#1: using the "epoll" event method
2026/01/29 09:04:21 [notice] 1#1: nginx/1.29.4
2026/01/29 09:04:21 [notice] 1#1: built by gcc 15.2.0 (Alpine 15.2.0) 
2026/01/29 09:04:21 [notice] 1#1: OS: Linux 6.6.87.2-microsoft-standard-WSL2
2026/01/29 09:04:21 [notice] 1#1: getrlimit(RLIMIT_NOFILE): 1048576:1048576
2026/01/29 09:04:21 [notice] 1#1: start worker processes
2026/01/29 09:04:21 [notice] 1#1: start worker process 22
2026/01/29 09:04:21 [notice] 1#1: start worker process 23
2026/01/29 09:04:21 [notice] 1#1: start worker process 24
2026/01/29 09:04:21 [notice] 1#1: start worker process 25
2026/01/29 09:04:21 [notice] 1#1: start worker process 26
2026/01/29 09:04:21 [notice] 1#1: start worker process 27
2026/01/29 09:04:21 [notice] 1#1: start worker process 28
2026/01/29 09:04:21 [notice] 1#1: start worker process 29
2026/01/29 09:04:21 [notice] 1#1: start worker process 30
2026/01/29 09:04:21 [notice] 1#1: start worker process 31
2026/01/29 09:04:21 [notice] 1#1: start worker process 32
2026/01/29 09:04:21 [notice] 1#1: start worker process 33
